GameID,DateTime_ET,Visitor,Visitor PTS,Home,Home PTS,Winner,Kalshi Odds (Visitor win),Kalshi Odds (Home win)
KXNBAGAME-25NOV02MEMTOR-TOR,2025-11-02 18:00:00,Memphis Grizzlies,104,Toronto Raptors,117,Toronto Raptors,0.38,0.62
KXNBAGAME-25NOV02CHINYK-NYK,2025-11-02 19:00:00,Chicago Bulls,116,New York Knicks,128,New York Knicks,0.29000000000000004,0.71
KXNBAGAME-25NOV02SASPHX-PHX,2025-11-02 20:00:00,San Antonio Spurs,118,Phoenix Suns,130,Phoenix Suns,0.6799999999999999,0.32
KXNBAGAME-25NOV02MIALAL-LAL,2025-11-02 21:30:00,Miami Heat,120,Los Angeles Lakers,130,Los Angeles Lakers,0.35,0.65
KXNBAGAME-25NOV03MINBKN-BKN,2025-11-03 19:00:00,Minnesota Timberwolves,125,Brooklyn Nets,109,Minnesota Timberwolves,0.78,0.22
KXNBAGAME-25NOV03MILIND-IND,2025-11-03 19:00:00,Milwaukee Bucks,117,Indiana Pacers,115,Milwaukee Bucks,0.6699999999999999,0.33
KXNBAGAME-25NOV03UTABOS-BOS,2025-11-03 19:30:00,Utah Jazz,105,Boston Celtics,103,Utah Jazz,0.18999999999999995,0.81
KXNBAGAME-25NOV03WASNYK-NYK,2025-11-03 19:30:00,Washington Wizards,102,New York Knicks,119,New York Knicks,0.14,0.86
KXNBAGAME-25NOV03DALHOU-HOU,2025-11-03 20:00:00,Dallas Mavericks,102,Houston Rockets,110,Houston Rockets,0.15000000000000002,0.85
KXNBAGAME-25NOV03DETMEM-MEM,2025-11-03 20:00:00,Detroit Pistons,114,Memphis Grizzlies,106,Detroit Pistons,0.62,0.38
KXNBAGAME-25NOV03SACDEN-DEN,2025-11-03 21:00:00,Sacramento Kings,124,Denver Nuggets,130,Denver Nuggets,0.17000000000000004,0.83
KXNBAGAME-25NOV03LALPOR-POR,2025-11-03 22:00:00,Los Angeles Lakers,123,Portland Trail Blazers,115,Los Angeles Lakers,0.22999999999999998,0.77
KXNBAGAME-25NOV03MIALAC-LAC,2025-11-03 22:30:00,Miami Heat,120,Los Angeles Clippers,119,Miami Heat,0.26,0.74
KXNBAGAME-25NOV04MILTOR-TOR,2025-11-04 19:30:00,Milwaukee Bucks,100,Toronto Raptors,128,Toronto Raptors,0.45999999999999996,0.54
KXNBAGAME-25NOV04ORLATL-ATL,2025-11-04 20:00:00,Orlando Magic,112,Atlanta Hawks,127,Atlanta Hawks,0.61,0.39
KXNBAGAME-25NOV04PHICHI-CHI,2025-11-04 20:00:00,Philadelphia 76ers,111,Chicago Bulls,113,Chicago Bulls,0.44999999999999996,0.55
KXNBAGAME-25NOV04CHANOP-NOP,2025-11-04 20:00:00,Charlotte Hornets,112,New Orleans Pelicans,116,New Orleans Pelicans,0.42000000000000004,0.58
KXNBAGAME-25NOV04PHXGSW-GSW,2025-11-04 22:00:00,Phoenix Suns,107,Golden State Warriors,118,Golden State Warriors,0.19999999999999996,0.8
KXNBAGAME-25NOV04OKCLAC-LAC,2025-11-04 23:00:00,Oklahoma City Thunder,126,Los Angeles Clippers,107,Oklahoma City Thunder,0.73,0.27
KXNBAGAME-25NOV05PHICLE-CLE,2025-11-05 19:00:00,Philadelphia 76ers,121,Cleveland Cavaliers,132,Cleveland Cavaliers,0.18999999999999995,0.81
KXNBAGAME-25NOV05UTADET-DET,2025-11-05 19:00:00,Utah Jazz,103,Detroit Pistons,114,Detroit Pistons,0.20999999999999996,0.79
KXNBAGAME-25NOV05BKNIND-IND,2025-11-05 19:00:00,Brooklyn Nets,112,Indiana Pacers,103,Brooklyn Nets,0.30000000000000004,0.7
KXNBAGAME-25NOV05WASBOS-BOS,2025-11-05 19:30:00,Washington Wizards,107,Boston Celtics,136,Boston Celtics,0.15000000000000002,0.85
KXNBAGAME-25NOV05MINNYK-NYK,2025-11-05 19:30:00,Minnesota Timberwolves,114,New York Knicks,137,New York Knicks,0.4,0.6
KXNBAGAME-25NOV05HOUMEM-MEM,2025-11-05 20:00:00,Houston Rockets,124,Memphis Grizzlies,109,Houston Rockets,0.72,0.28
KXNBAGAME-25NOV05NOPDAL-DAL,2025-11-05 20:30:00,New Orleans Pelicans,101,Dallas Mavericks,99,New Orleans Pelicans,0.26,0.74
KXNBAGAME-25NOV05MIADEN-DEN,2025-11-05 21:00:00,Miami Heat,112,Denver Nuggets,122,Denver Nuggets,0.21999999999999997,0.78
KXNBAGAME-25NOV05SASLAL-LAL,2025-11-05 22:00:00,San Antonio Spurs,116,Los Angeles Lakers,118,Los Angeles Lakers,0.52,0.48
KXNBAGAME-25NOV05OKCPOR-POR,2025-11-05 22:00:00,Oklahoma City Thunder,119,Portland Trail Blazers,121,Portland Trail Blazers,0.61,0.39
KXNBAGAME-25NOV05GSWSAC-SAC,2025-11-05 22:00:00,Golden State Warriors,116,Sacramento Kings,121,Sacramento Kings,0.43000000000000005,0.57
KXNBAGAME-25NOV06LACPHX-PHX,2025-11-06 21:00:00,Los Angeles Clippers,102,Phoenix Suns,115,Phoenix Suns,0.42000000000000004,0.58
